Format Version,1.21,Take Name,Take 2020-08-25 04.42.30 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-08-25 04.42.30 PM,Total Frames in Take,27713,Total Exported Frames,27713,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
238,1.983333,0.083093,0.003782,-0.069769,0.092888,0.244080,0.013622
239,1.991667,0.083089,0.003767,-0.069771,0.092874,0.244055,0.013638
240,2.000000,0.083080,0.003740,-0.069739,0.092869,0.244016,0.013669
241,2.008333,0.083087,0.003741,-0.069764,0.092889,0.244037,0.013615
242,2.016667,0.083100,0.003764,-0.069778,0.092903,0.244063,0.013610
243,2.025000,0.083097,0.003778,-0.069738,0.092897,0.244060,0.013659
244,2.033333,0.083094,0.003768,-0.069760,0.092895,0.244054,0.013640
245,2.041667,0.083091,0.003744,-0.069782,0.092893,0.244045,0.013605
246,2.050000,0.083083,0.003743,-0.069749,0.092880,0.244031,0.013638
247,2.058333,0.083085,0.003761,-0.069747,0.092875,0.244045,0.013658
248,2.066667,0.083094,0.003774,-0.069775,0.092882,0.244071,0.013624
249,2.075000,0.083090,0.003768,-0.069746,0.092886,0.244056,0.013638
250,2.083333,0.083089,0.003752,-0.069756,0.092891,0.244038,0.013640
251,2.091667,0.083091,0.003744,-0.069779,0.092899,0.244038,0.013614
252,2.100000,0.083096,0.003753,-0.069758,0.092898,0.244048,0.013626
253,2.108333,0.083093,0.003773,-0.069738,0.092888,0.244056,0.013651
254,2.116667,0.083087,0.003773,-0.069764,0.092883,0.244066,0.013628
255,2.125000,0.083089,0.003755,-0.069778,0.092884,0.244045,0.013629
256,2.133333,0.083086,0.003745,-0.069765,0.092878,0.244027,0.013653
257,2.141667,0.083085,0.003757,-0.069759,0.092880,0.244046,0.013636
258,2.150000,0.083095,0.003766,-0.069767,0.092896,0.244062,0.013622
259,2.158333,0.083096,0.003767,-0.069758,0.092899,0.244054,0.013638
260,2.166667,0.083089,0.003758,-0.069768,0.092887,0.244048,0.013634
261,2.175000,0.083089,0.003753,-0.069772,0.092888,0.244049,0.013614
262,2.183333,0.083089,0.003752,-0.069755,0.092887,0.244050,0.013615
263,2.191667,0.083085,0.003762,-0.069754,0.092878,0.244049,0.013642
264,2.200000,0.083090,0.003769,-0.069772,0.092884,0.244058,0.013641
