Format Version,1.21,Take Name,Take 2021-04-13 07.22.24 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-13 07.22.24 PM,Total Frames in Take,22555,Total Exported Frames,22555,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
64,0.533333,0.039986,-0.001604,0.037859,0.078193,-0.052818,0.044363,0.086149,-0.026879,0.002538,0.030860,-0.061238,0.060449
65,0.541667,0.039986,-0.001607,0.037875,0.078192,-0.052821,0.044388,0.086152,-0.026879,0.002535,0.030877,-0.061240,0.060395
66,0.550000,0.039985,-0.001605,0.037879,0.078194,-0.052818,0.044357,0.086151,-0.026877,0.002557,0.030881,-0.061238,0.060369
67,0.558333,0.039987,-0.001602,0.037878,0.078192,-0.052813,0.044367,0.086149,-0.026880,0.002552,0.030862,-0.061236,0.060461
68,0.566667,0.039981,-0.001608,0.037909,0.078196,-0.052817,0.044358,0.086158,-0.026875,0.002517,0.030856,-0.061237,0.060484
69,0.575000,0.039988,-0.001603,0.037859,0.078190,-0.052817,0.044378,0.086153,-0.026882,0.002521,0.030858,-0.061238,0.060466
70,0.583333,0.039987,-0.001599,0.037853,0.078192,-0.052817,0.044363,0.086146,-0.026880,0.002557,0.030861,-0.061237,0.060455
71,0.591667,0.039984,-0.001606,0.037905,0.078191,-0.052818,0.044375,0.086155,-0.026878,0.002535,0.030857,-0.061238,0.060505
72,0.600000,0.039984,-0.001606,0.037905,0.078191,-0.052818,0.044375,0.086155,-0.026878,0.002535,0.030857,-0.061238,0.060505
73,0.608333,0.039985,-0.001603,0.037874,0.078184,-0.052821,0.044410,0.086150,-0.026881,0.002543,0.030863,-0.061236,0.060443
74,0.616667,0.039985,-0.001603,0.037874,0.078184,-0.052821,0.044410,0.086150,-0.026881,0.002543,0.030863,-0.061236,0.060443
75,0.625000,0.039985,-0.001606,0.037872,0.078194,-0.052814,0.044368,0.086148,-0.026881,0.002557,0.030865,-0.061237,0.060432
76,0.633333,0.039987,-0.001602,0.037860,0.078188,-0.052819,0.044386,0.086149,-0.026878,0.002556,0.030878,-0.061240,0.060383
77,0.641667,0.039984,-0.001604,0.037886,0.078190,-0.052820,0.044371,0.086151,-0.026877,0.002550,0.030859,-0.061238,0.060479
78,0.650000,0.039986,-0.001603,0.037874,0.078189,-0.052821,0.044379,0.086151,-0.026880,0.002550,0.030851,-0.061228,0.060420
79,0.658333,0.039983,-0.001604,0.037886,0.078191,-0.052816,0.044374,0.086151,-0.026880,0.002557,0.030862,-0.061233,0.060450
80,0.666667,0.039986,-0.001605,0.037878,0.078186,-0.052819,0.044398,0.086154,-0.026876,0.002538,0.030864,-0.061236,0.060447
81,0.675000,0.039984,-0.001604,0.037883,0.078185,-0.052821,0.044400,0.086153,-0.026878,0.002542,0.030862,-0.061238,0.060453
82,0.683333,0.039988,-0.001603,0.037875,0.078194,-0.052819,0.044367,0.086150,-0.026876,0.002544,0.030862,-0.061235,0.060462
83,0.691667,0.039984,-0.001605,0.037876,0.078191,-0.052818,0.044378,0.086147,-0.026881,0.002566,0.030875,-0.061238,0.060385
84,0.700000,0.039983,-0.001606,0.037892,0.078192,-0.052818,0.044373,0.086151,-0.026877,0.002546,0.030862,-0.061235,0.060441
85,0.708333,0.039983,-0.001606,0.037892,0.078192,-0.052818,0.044373,0.086151,-0.026877,0.002546,0.030862,-0.061235,0.060441
86,0.716667,0.039981,-0.001606,0.037893,0.078193,-0.052820,0.044364,0.086155,-0.026878,0.002528,0.030858,-0.061236,0.060467
87,0.725000,0.039985,-0.001602,0.037875,0.078190,-0.052817,0.044371,0.086151,-0.026878,0.002536,0.030856,-0.061226,0.060364
